sample	name	Biosample
A673_ID_2649	A673	A673_ENCFF261YSH_ENCFF860UCH_ENCFF054PXI_ENCFF215WZQ
AG04450_ID_361	AG04450	AG04450_ENCFF477CQU_ENCFF485LDV
aorta_ID_2340	aorta	aorta_ENCFF934AZP_ENCFF381CDO_ENCFF233YWT_ENCFF862BCJ
bipolar_neuron_ID_2650	bipolar_neuron	bipolar_neuron_ENCFF125JWY_ENCFF772EJG_ENCFF354HMZ_ENCFF292IFV
brain_microvascular_endothelial_cell_ID_2308	brain_microvascular_endothelial_cell	brain_microvascular_endothelial_cell_ENCFF598PRH_ENCFF438RES_ENCFF713SNQ_ENCFF887PLJ
brain_microvascular_endothelial_cell_ID_2308	brain_microvascular_endothelial_cell	brain_microvascular_endothelial_cell_ENCFF598PRH_ENCFF438RES_ENCFF203RLS_ENCFF713SNQ_ENCFF887PLJ
cardiac_muscle_cell_ID_363	cardiac_muscle_cell	cardiac_muscle_cell_ENCFF405BAG_ENCFF044HUP
CD14-positive_monocyte_ID_370	CD14-positive_monocyte	CD14-positive_monocyte_ENCFF975UDE_ENCFF068YQE
CD14-positive_monocyte_ID_370	CD14-positive_monocyte	CD14-positive_monocyte_ENCFF975UDE_ENCFF568RGF_ENCFF026AOY_ENCFF527BCW_ENCFF879JUO_ENCFF068YQE_ENCFF182UAN
colonic_mucosa_ID_2118	colonic_mucosa	colonic_mucosa_ENCFF946UKJ_ENCFF282AQV
coronary_artery_ID_2664	coronary_artery	coronary_artery_ENCFF732RWK_ENCFF055DES
coronary_artery_ID_2664	coronary_artery	coronary_artery_ENCFF732RWK_ENCFF055DES_ENCFF057VPU
epithelial_cell_of_prostate_ID_2659	epithelial_cell_of_prostate	epithelial_cell_of_prostate_ENCFF477OTZ_ENCFF406KDL_ENCFF544ZNG
fibroblast_of_dermis_ID_2639	fibroblast_of_dermis	fibroblast_of_dermis_ENCFF159HRT_ENCFF097AWZ
